0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
234.6852,75.8677,54.3873,1.7789,19.7925,-4.2765,27.7314,9.8824,15.7883,-20.0092,-5.8118,-14.0344,8.4177,8.1299,23.4762,3.1952,3.8522,-16.0197,-31.7736,-10.6149,4.9053,3.1488,2.7670,-5.1416,-14.4335,-23.7388,-3.9905,-2.6207,9.5103,3.0554,-10.9899,-19.1832,0
843.2771,135.3919,54.0072,9.0945,8.3007,-20.7763,10.7888,5.5029,33.1953,4.9166,8.7722,1.6037,28.0833,3.2535,5.9016,-3.8845,-13.6589,-46.6703,-17.6932,-1.9512,15.8030,2.3333,0.3369,35.9301,-6.1111,-43.4278,-11.2374,12.7983,11.8777,-14.3360,-20.0375,-19.3617,0
843.2771,135.3919,54.0072,9.0945,8.3007,-20.7763,10.7888,5.5029,33.1953,4.9166,8.7722,1.6037,28.0833,3.2535,5.9016,-3.8845,-13.6589,-46.6703,-17.6932,-1.9512,15.8030,2.3333,0.3369,35.9301,-6.1111,-43.4278,-11.2374,12.7983,11.8777,-14.3360,-20.0375,-19.3617,0
1330.1050,231.7471,96.6741,-0.4112,20.9556,-47.3992,6.6511,-4.7538,47.8013,0.0119,20.8758,2.3483,18.0114,-10.8656,13.3922,-26.9970,-11.0371,-46.8808,-39.0841,-2.4876,-4.2190,-6.3130,23.8505,45.7437,1.3699,-26.3222,-10.1299,28.7228,4.4575,-34.1927,-30.1618,-16.2925,0
2402.0597,414.4146,190.6254,18.4950,65.0169,-39.9379,40.8797,-50.4882,89.4551,8.4341,57.2643,15.2730,23.3688,-7.2181,67.1203,-24.4922,3.2512,-66.7393,-26.2547,2.7540,30.3221,-29.7740,23.7269,50.4964,18.3124,-79.5947,-2.4656,2.4658,-5.1240,-36.3018,-39.6446,-36.1485,0
2894.1659,481.2489,205.4653,35.6204,69.7547,-37.8734,28.2738,-66.9689,105.4816,23.6970,70.6834,50.9952,16.4467,-39.3642,58.6775,-31.7985,13.3212,-83.7581,-28.8430,-0.0227,16.9075,-39.9178,8.6464,44.7811,5.3001,-87.0809,-13.8119,-2.5958,-2.7441,-47.0240,-46.1683,-59.3276,0
3709.9162,591.5769,211.9635,22.0160,102.7873,-36.0494,8.5260,-75.2234,72.3955,17.7507,90.5265,80.4991,33.5450,-27.0838,62.9344,-61.7178,-7.8071,-95.9036,-26.7639,33.4144,34.0929,-62.7471,21.1549,43.9178,18.6551,-95.7938,-41.8529,-34.9905,-3.3040,-29.3611,-47.0034,-102.2304,0
3709.9162,591.5769,211.9635,22.0160,102.7873,-36.0494,8.5260,-75.2234,72.3955,17.7507,90.5265,80.4991,33.5450,-27.0838,62.9344,-61.7178,-7.8071,-95.9036,-26.7639,33.4144,34.0929,-62.7471,21.1549,43.9178,18.6551,-95.7938,-41.8529,-34.9905,-3.3040,-29.3611,-47.0034,-102.2304,0
954.0316,535.2337,658.6811,-206.5527,226.5906,-247.4319,239.7003,-174.5630,192.6483,-178.6479,116.8886,-174.6526,83.8633,-130.7436,87.2702,-83.8266,63.6566,-111.0598,2.9432,-118.1836,-9.8690,-128.8226,-56.3728,-149.2819,-38.7447,-82.9822,19.4347,-37.3297,84.9266,62.9245,170.2719,83.4402,0
